Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-05-30,Millennium Actress,2001,https://letterboxd.com/jojonium/film/millennium-actress/,4.5,,2017-05-29
2017-05-30,Alien,1979,https://letterboxd.com/jojonium/film/alien/,4,,2017-05-29
2017-05-30,The Witch,2015,https://letterboxd.com/jojonium/film/the-witch-2015/,3,,2017-05-29
2017-05-31,Johnny Got His Gun,1971,https://letterboxd.com/jojonium/film/johnny-got-his-gun/,4,,2017-05-30
2017-05-31,Threads,1984,https://letterboxd.com/jojonium/film/threads/,4,,2017-05-30
2017-05-31,Guardians of the Galaxy,2014,https://letterboxd.com/jojonium/film/guardians-of-the-galaxy/,1,,2017-05-30
2017-06-01,Aliens,1986,https://letterboxd.com/jojonium/film/aliens/,3.5,,2017-05-31
2017-06-01,Only God Forgives,2013,https://letterboxd.com/jojonium/film/only-god-forgives/,4.5,,2017-05-31
2017-06-03,Alien³,1992,https://letterboxd.com/jojonium/film/alien-3/,3,,2017-06-02
2017-06-03,Alien: Resurrection,1997,https://letterboxd.com/jojonium/film/alien-resurrection/,1,,2017-06-02
2017-06-04,Prometheus,2012,https://letterboxd.com/jojonium/film/prometheus/,3,,2017-06-03
2017-06-04,Raw,2016,https://letterboxd.com/jojonium/film/raw-2016/,3.5,,2017-06-03
2017-06-04,Predator,1987,https://letterboxd.com/jojonium/film/predator/,5,,2017-06-03
2017-06-05,Clue,1985,https://letterboxd.com/jojonium/film/clue/,5,,2017-06-04
2017-06-05,Battleship,2012,https://letterboxd.com/jojonium/film/battleship/,2,,2017-06-04
2017-06-05,Jodorowsky's Dune,2013,https://letterboxd.com/jojonium/film/jodorowskys-dune/,4,,2017-06-04
2017-06-05,Predator 2,1990,https://letterboxd.com/jojonium/film/predator-2/,4,,2017-06-04
2017-06-06,Mad Max 2: The Road Warrior,1981,https://letterboxd.com/jojonium/film/mad-max-2-the-road-warrior/,4,,2017-06-05
2017-06-06,The Blair Witch Project,1999,https://letterboxd.com/jojonium/film/the-blair-witch-project/,2.5,,2017-06-05
2017-06-06,Big Trouble in Little China,1986,https://letterboxd.com/jojonium/film/big-trouble-in-little-china/,4,,2017-06-05
2017-06-07,Clue,1985,https://letterboxd.com/jojonium/film/clue/1/,4.5,,2017-06-06
2017-06-07,The Blues Brothers,1980,https://letterboxd.com/jojonium/film/the-blues-brothers/,5,,2017-06-06
2017-06-07,The Blob,1988,https://letterboxd.com/jojonium/film/the-blob-1988/,4.5,,2017-06-06
2017-06-07,Mad Max Beyond Thunderdome,1985,https://letterboxd.com/jojonium/film/mad-max-beyond-thunderdome/,2.5,,2017-06-06
2017-06-08,A Serbian Film,2010,https://letterboxd.com/jojonium/film/a-serbian-film/,1.5,,2017-06-07
2017-06-08,Audition,1999,https://letterboxd.com/jojonium/film/audition/,3.5,,2017-06-07
2017-06-08,Ocean's Eleven,2001,https://letterboxd.com/jojonium/film/oceans-eleven-2001/,4,,2017-06-07
2017-06-09,Wonder Woman,2017,https://letterboxd.com/jojonium/film/wonder-woman-2017/,3.5,theater,2017-06-08
2017-06-10,The Lure,2015,https://letterboxd.com/jojonium/film/the-lure/1/,2.5,,2017-06-08
2017-06-10,Raw,2016,https://letterboxd.com/jojonium/film/raw-2016/1/,4,,2017-06-08
2017-06-10,The Lego Batman Movie,2017,https://letterboxd.com/jojonium/film/the-lego-batman-movie/1/,4.5,,2017-06-09
2017-06-10,Hotel Chevalier,2007,https://letterboxd.com/jojonium/film/hotel-chevalier/,3,youtube,2017-06-09
2017-06-12,Dogtooth,2009,https://letterboxd.com/jojonium/film/dogtooth/,4,,2017-06-09
2017-06-12,High and Low,1963,https://letterboxd.com/jojonium/film/high-and-low/,5,,2017-06-11
2017-06-12,Grand Illusion,1937,https://letterboxd.com/jojonium/film/grand-illusion/,4.5,,2017-06-11
2017-06-12,The Neon Demon,2016,https://letterboxd.com/jojonium/film/the-neon-demon/,4.5,,2017-06-11
2017-06-13,Life,2017,https://letterboxd.com/jojonium/film/life-2017/,3,,2017-06-12
2017-06-13,A Boy and His Dog,1975,https://letterboxd.com/jojonium/film/a-boy-and-his-dog/,3,,2017-06-12
2017-06-13,"Ghidorah, the Three-Headed Monster",1964,https://letterboxd.com/jojonium/film/ghidorah-the-three-headed-monster/,3.5,,2017-06-12
2017-06-13,The Texas Chain Saw Massacre,1974,https://letterboxd.com/jojonium/film/the-texas-chain-saw-massacre/,5,,2017-06-12
2017-06-14,The Lady Vanishes,1938,https://letterboxd.com/jojonium/film/the-lady-vanishes/,5,,2017-06-12
2017-06-14,No Country for Old Men,2007,https://letterboxd.com/jojonium/film/no-country-for-old-men/,5,netflix,2017-06-13
2017-06-14,Amarcord,1973,https://letterboxd.com/jojonium/film/amarcord/,4,,2017-06-13
2017-06-14,Land of the Dead,2005,https://letterboxd.com/jojonium/film/land-of-the-dead/,2,,2017-06-13
2017-06-14,Kizumonogatari Part 2: Nekketsu,2016,https://letterboxd.com/jojonium/film/kizumonogatari-part-2-nekketsu/,5,,2017-06-13
2017-06-16,Tetsuo: The Iron Man,1989,https://letterboxd.com/jojonium/film/tetsuo-the-iron-man/,4,,2017-06-15
2017-06-16,Whiplash,2014,https://letterboxd.com/jojonium/film/whiplash-2014/,4.5,,2017-06-15
2017-06-17,Tusk,2014,https://letterboxd.com/jojonium/film/tusk-2014/,1,,2017-06-16
2017-06-17,Rushmore,1998,https://letterboxd.com/jojonium/film/rushmore/,4.5,,2017-06-16
2017-06-17,The 400 Blows,1959,https://letterboxd.com/jojonium/film/the-400-blows/,4,,2017-06-16
