Date,Name,Year,Letterboxd URI
2017-06-20,Logan,2017,https://letterboxd.com/film/logan-2017/
2017-06-20,Zodiac,2007,https://letterboxd.com/film/zodiac/
2017-07-01,The Bad Batch,2016,https://letterboxd.com/film/the-bad-batch/
2017-08-25,Melancholia,2011,https://letterboxd.com/film/melancholia/
2017-08-27,Sunset Boulevard,1950,https://letterboxd.com/film/sunset-boulevard/
2017-08-27,Dunkirk,2017,https://letterboxd.com/film/dunkirk-2017/
2017-08-30,Horror Express,1972,https://letterboxd.com/film/horror-express/
2017-08-30,The Wicker Man,1973,https://letterboxd.com/film/the-wicker-man/
2017-08-30,Contact,1997,https://letterboxd.com/film/contact/
2017-08-30,Lost River,2014,https://letterboxd.com/film/lost-river/
2017-08-30,The Devil's Rain,1975,https://letterboxd.com/film/the-devils-rain/
2017-09-01,Twelve Monkeys,1995,https://letterboxd.com/film/twelve-monkeys/
2017-09-03,Legend,1985,https://letterboxd.com/film/legend/
2017-09-03,True Grit,2010,https://letterboxd.com/film/true-grit-2010/
2017-09-03,Tinker Tailor Soldier Spy,2011,https://letterboxd.com/film/tinker-tailor-soldier-spy/
2017-09-03,Enter the Dragon,1973,https://letterboxd.com/film/enter-the-dragon/
2017-09-03,Armour of God,1986,https://letterboxd.com/film/armour-of-god/
2017-09-04,The Social Network,2010,https://letterboxd.com/film/the-social-network/
2017-09-04,Se7en,1995,https://letterboxd.com/film/se7en/
2017-09-04,Patlabor: The Movie,1989,https://letterboxd.com/film/patlabor-the-movie/
2017-09-04,Ninja Scroll,1993,https://letterboxd.com/film/ninja-scroll/
2017-09-06,How to Build a Time Machine,2016,https://letterboxd.com/film/how-to-build-a-time-machine/
2017-09-07,"Africa, Goodbye",1966,https://letterboxd.com/film/africa-goodbye/
2017-09-07,Hard Candy,2005,https://letterboxd.com/film/hard-candy/
2017-09-08,Antichrist,2009,https://letterboxd.com/film/antichrist/
2017-09-08,Before Sunset,2004,https://letterboxd.com/film/before-sunset/
2017-09-08,Before Sunrise,1995,https://letterboxd.com/film/before-sunrise/
2017-09-08,Adrift in Tokyo,2007,https://letterboxd.com/film/adrift-in-tokyo/
2017-09-09,Lupin the Third: The Castle of Cagliostro,1979,https://letterboxd.com/film/lupin-the-third-the-castle-of-cagliostro/
2017-09-10,DodgeBall: A True Underdog Story,2004,https://letterboxd.com/film/dodgeball-a-true-underdog-story/
2017-09-11,Armageddon,1998,https://letterboxd.com/film/armageddon/
2017-09-11,Deep Impact,1998,https://letterboxd.com/film/deep-impact/
2017-09-13,The Seventh Seal,1957,https://letterboxd.com/film/the-seventh-seal/
2017-09-14,Downsizing,2017,https://letterboxd.com/film/downsizing/
2017-09-14,The Shape of Water,2017,https://letterboxd.com/film/the-shape-of-water/
2017-09-19,Knight of Cups,2015,https://letterboxd.com/film/knight-of-cups/
2017-09-19,One Hour Photo,2002,https://letterboxd.com/film/one-hour-photo/
2017-09-22,Twin Peaks,1989,https://letterboxd.com/film/twin-peaks/
2017-09-22,Rear Window,1954,https://letterboxd.com/film/rear-window/
2017-09-22,The Curse,1987,https://letterboxd.com/film/the-curse/
2017-09-23,The Disaster Artist,2017,https://letterboxd.com/film/the-disaster-artist/
2017-09-23,Exotica,1994,https://letterboxd.com/film/exotica/
2017-09-23,The Sweet Hereafter,1997,https://letterboxd.com/film/the-sweet-hereafter/
2017-09-23,Casino,1995,https://letterboxd.com/film/casino/
2017-09-23,Song to Song,2017,https://letterboxd.com/film/song-to-song/
2017-09-24,Primal Fear,1996,https://letterboxd.com/film/primal-fear/
2017-09-24,The Wave,2008,https://letterboxd.com/film/the-wave-2008/
2017-09-24,One Flew Over the Cuckoo's Nest,1975,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/
2017-09-25,Marebito,2004,https://letterboxd.com/film/marebito/
2017-09-25,Xtro,1982,https://letterboxd.com/film/xtro/
2017-09-25,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,https://letterboxd.com/film/as-i-was-moving-ahead-occasionally-i-saw-brief-glimpses-of-beauty/
2017-09-25,Dog Soldiers,2002,https://letterboxd.com/film/dog-soldiers/
2017-09-26,Rampage,2009,https://letterboxd.com/film/rampage/
2017-09-26,The Fountain,2006,https://letterboxd.com/film/the-fountain/
2017-09-27,Broken Flowers,2005,https://letterboxd.com/film/broken-flowers/
2017-09-27,Ikiru,1952,https://letterboxd.com/film/ikiru/
2017-09-28,Our Century,1983,https://letterboxd.com/film/our-century/
2017-09-28,Nostos: The Return,1989,https://letterboxd.com/film/nostos-the-return/
2017-09-28,Love & Pop,1998,https://letterboxd.com/film/love-pop/
2017-09-28,Black Swan,2010,https://letterboxd.com/film/black-swan/
2017-09-28,Wicked City,1987,https://letterboxd.com/film/wicked-city/
2017-09-29,Over the Garden Wall,2014,https://letterboxd.com/film/over-the-garden-wall-2014/
2017-09-29,The Assassination of Jesse James by the Coward Robert Ford,2007,https://letterboxd.com/film/the-assassination-of-jesse-james-by-the-coward-robert-ford/
2017-09-29,"As Above, So Below",2014,https://letterboxd.com/film/as-above-so-below-2014/
2017-09-29,Brotherhood of the Wolf,2001,https://letterboxd.com/film/brotherhood-of-the-wolf/
2017-09-30,"Paris, Texas",1984,https://letterboxd.com/film/paris-texas/
2017-09-30,M,1931,https://letterboxd.com/film/m/
2017-10-02,The Fifth Element,1997,https://letterboxd.com/film/the-fifth-element/
2017-10-02,Mad Max: Fury Road,2015,https://letterboxd.com/film/mad-max-fury-road/
2017-10-03,Infinity Chamber,2016,https://letterboxd.com/film/infinity-chamber/
2017-10-04,Super Dark Times,2017,https://letterboxd.com/film/super-dark-times/
2017-10-04,Scenes from a Marriage,1973,https://letterboxd.com/film/scenes-from-a-marriage/
2017-10-06,The Act of Killing,2012,https://letterboxd.com/film/the-act-of-killing/
2017-10-07,Butch Cassidy and the Sundance Kid,1969,https://letterboxd.com/film/butch-cassidy-and-the-sundance-kid/
2017-10-07,Jiro Dreams of Sushi,2011,https://letterboxd.com/film/jiro-dreams-of-sushi/
2017-10-09,V/H/S,2012,https://letterboxd.com/film/v-h-s/
2017-10-09,Premium Rush,2012,https://letterboxd.com/film/premium-rush/
2017-10-09,This Film Is Not Yet Rated,2006,https://letterboxd.com/film/this-film-is-not-yet-rated/
2017-10-09,The Pirate Bay: Away From Keyboard,2013,https://letterboxd.com/film/the-pirate-bay-away-from-keyboard/
2017-10-09,180° South: Conquerors of the Useless,2010,https://letterboxd.com/film/180-south-conquerors-of-the-useless/
2017-10-10,Penda's Fen,1974,https://letterboxd.com/film/pendas-fen/
2017-10-10,Bride of Re-Animator,1989,https://letterboxd.com/film/bride-of-re-animator/
2017-10-11,Prisoners,2013,https://letterboxd.com/film/prisoners/
2017-10-11,Escape from L.A.,1996,https://letterboxd.com/film/escape-from-la/
2017-10-11,Invasion of the Body Snatchers,1978,https://letterboxd.com/film/invasion-of-the-body-snatchers-1978/
