Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-06-08,Audition,1999,https://letterboxd.com/jojonium/film/audition/1/,3.5,,2017-06-07
2017-12-04,ADAM: The Mirror,2017,https://letterboxd.com/jojonium/film/adam-the-mirror/,1.5,youtube,2017-12-03
2017-12-04,ADAM: Chapter 3,2017,https://letterboxd.com/jojonium/film/adam-chapter-3/,1,youtube,2017-12-03
2018-01-16,Hill Climb Girl,2014,https://letterboxd.com/jojonium/film/hill-climb-girl/1/,1,japan animator expo,2018-01-15
2018-01-17,Ochibi,2015,https://letterboxd.com/jojonium/film/ochibi/,3.5,japan animator expo,2018-01-16
2018-01-17,Ochibi,2015,https://letterboxd.com/jojonium/film/ochibi/1/,3.5,japan animator expo,2018-01-16
2018-02-10,American Psycho,2000,https://letterboxd.com/jojonium/film/american-psycho/1/,5,beta,2018-02-09
